transaction,location,total_amount,limit,result
1,2,£35913.55,£50000.00,1
3,3,£45638.26,£50000.00,0
3,4,£10255.55,£50000.00,2
3,4,£4418.07,£50000.00,1
5,1,£36394.44,£50000.00,2
4,2,£30403.86,£50000.00,1
1,2,£6556.47,£50000.00,1
4,1,£3800.90,£50000.00,1
5,5,£45304.47,£50000.00,2
4,2,£43496.87,£50000.00,0
3,4,£21498.21,£50000.00,1
5,2,£29878.06,£50000.00,0
4,2,£15280.94,£50000.00,0
1,5,£6450.68,£50000.00,2
2,4,£19818.26,£50000.00,2
2,2,£2480.23,£50000.00,1
4,3,£41116.68,£50000.00,2
3,5,£23808.15,£50000.00,0
1,5,£23096.44,£50000.00,2
3,1,£21464.19,£50000.00,1
5,1,£43422.06,£50000.00,2
5,5,£27622.54,£50000.00,2
1,4,£36872.31,£50000.00,2
3,4,£41409.79,£50000.00,0
4,3,£40749.74,£50000.00,0
5,5,£31805.99,£50000.00,0
2,5,£44214.57,£50000.00,2
1,4,£42279.47,£50000.00,2
1,4,£30778.39,£50000.00,0
5,1,£30285.36,£50000.00,2
1,3,£31014.67,£50000.00,2
5,1,£29961.44,£50000.00,0
5,1,£3711.14,£50000.00,1
1,3,£21211.25,£50000.00,1
3,4,£17682.53,£50000.00,1
2,5,£43248.55,£50000.00,1
4,4,£32615.72,£50000.00,1
2,4,£18711.18,£50000.00,1
1,3,£48556.99,£50000.00,1
5,1,£37434.96,£50000.00,0
4,5,£35803.13,£50000.00,2
4,5,£22673.04,£50000.00,2
2,4,£28377.08,£50000.00,2
5,5,£32513.38,£50000.00,0
2,1,£30065.98,£50000.00,0
5,2,£5963.48,£50000.00,0
5,2,£6859.40,£50000.00,2
5,2,£7659.27,£50000.00,0
3,5,£39356.58,£50000.00,0
5,2,£37917.02,£50000.00,0
2,1,£32659.25,£50000.00,2
2,5,£37814.57,£50000.00,0
5,5,£49640.73,£50000.00,1
4,3,£43732.04,£50000.00,2
4,3,£15654.49,£50000.00,1
4,4,£28729.83,£50000.00,0
3,3,£5235.19,£50000.00,1
3,3,£37962.33,£50000.00,2
4,3,£31300.85,£50000.00,1
2,5,£42335.67,£50000.00,1
2,5,£45085.74,£50000.00,1
4,5,£45768.33,£50000.00,0
1,1,£18592.69,£50000.00,1
1,3,£32370.98,£50000.00,2
2,5,£35394.07,£50000.00,1
5,4,£21663.18,£50000.00,0
3,5,£4536.39,£50000.00,0
3,2,£8320.32,£50000.00,0
5,1,£44027.73,£50000.00,1
1,5,£20363.73,£50000.00,1
1,3,£23392.88,£50000.00,2
1,5,£10327.36,£50000.00,1
1,3,£14075.36,£50000.00,2
4,3,£15183.16,£50000.00,2
3,3,£31920.21,£50000.00,2
1,3,£41280.00,£50000.00,0
1,2,£47460.62,£50000.00,0
4,1,£24821.84,£50000.00,2
1,3,£14023.22,£50000.00,2
1,4,£21895.73,£50000.00,1
3,1,£35531.89,£50000.00,2
1,1,£21279.91,£50000.00,1
2,5,£13322.44,£50000.00,0
4,1,£17529.66,£50000.00,2
4,2,£25009.58,£50000.00,0
2,3,£4992.28,£50000.00,0
2,2,£14832.66,£50000.00,1
3,3,£31010.97,£50000.00,0
2,1,£27822.10,£50000.00,2
5,2,£13083.20,£50000.00,2
1,3,£12248.71,£50000.00,2
4,1,£8021.62,£50000.00,2
5,5,£41311.72,£50000.00,2
3,2,£43267.67,£50000.00,1
1,3,£4159.58,£50000.00,1
2,3,£37000.83,£50000.00,1
5,2,£46434.55,£50000.00,0
4,3,£23964.73,£50000.00,2
2,1,£34866.25,£50000.00,1
2,2,£32238.41,£50000.00,1
3,2,£3036.13,£50000.00,1
1,2,£36485.45,£50000.00,0
4,2,£41331.55,£50000.00,0
5,4,£36027.88,£50000.00,1
2,4,£25887.02,£50000.00,0
5,4,£6775.56,£50000.00,2
4,3,£3392.86,£50000.00,2
2,3,£5020.42,£50000.00,2
3,4,£48200.23,£50000.00,0
2,1,£32262.73,£50000.00,1
3,3,£26417.14,£50000.00,1
4,1,£32507.58,£50000.00,1
2,2,£17795.57,£50000.00,2
4,2,£27726.36,£50000.00,1
1,3,£21766.76,£50000.00,1
2,4,£9914.08,£50000.00,2
5,1,£6131.09,£50000.00,1
4,3,£103.81,£50000.00,0
2,3,£38102.25,£50000.00,2
1,3,£41493.24,£50000.00,1
5,4,£34632.13,£50000.00,1
2,5,£17676.20,£50000.00,0
3,2,£26922.76,£50000.00,1
4,1,£43836.07,£50000.00,0
4,4,£30926.28,£50000.00,0
2,3,£17669.91,£50000.00,1
4,4,£46854.73,£50000.00,0
5,2,£4014.12,£50000.00,1
2,1,£17219.48,£50000.00,2
1,3,£31580.73,£50000.00,2
5,5,£9119.51,£50000.00,2
3,2,£34629.44,£50000.00,1
2,3,£37394.10,£50000.00,0
4,2,£1235.69,£50000.00,1
5,3,£18162.48,£50000.00,2
3,2,£27804.21,£50000.00,2
2,4,£8461.22,£50000.00,2
3,3,£26984.84,£50000.00,0
5,3,£9868.93,£50000.00,2
1,2,£30883.12,£50000.00,2
1,3,£36240.60,£50000.00,2
1,3,£37984.39,£50000.00,0
4,4,£5428.97,£50000.00,2
4,4,£11729.81,£50000.00,0
2,5,£5079.43,£50000.00,1
3,5,£19408.26,£50000.00,0
3,1,£43212.95,£50000.00,1
1,4,£20940.78,£50000.00,0
3,3,£20642.68,£50000.00,2
1,3,£369.62,£50000.00,1
1,4,£33149.94,£50000.00,2
4,1,£6418.40,£50000.00,2
2,5,£17798.57,£50000.00,0
4,1,£44144.92,£50000.00,1
2,4,£24319.43,£50000.00,0
3,5,£20267.19,£50000.00,1
5,4,£43609.01,£50000.00,0
2,5,£35229.27,£50000.00,2
2,3,£16081.55,£50000.00,0
2,2,£5331.17,£50000.00,2
5,4,£26869.36,£50000.00,1
5,4,£10891.96,£50000.00,1
1,4,£42424.64,£50000.00,1
3,5,£24322.24,£50000.00,2
5,1,£9697.47,£50000.00,2
4,1,£23950.45,£50000.00,0
5,2,£47931.83,£50000.00,2
1,4,£36550.35,£50000.00,0
4,3,£40125.86,£50000.00,2
1,5,£4313.91,£50000.00,2
3,1,£14721.10,£50000.00,1
4,4,£25953.12,£50000.00,1
1,3,£3388.43,£50000.00,2
5,4,£44184.23,£50000.00,1
2,1,£34017.65,£50000.00,1
4,4,£18673.11,£50000.00,0
4,2,£8906.49,£50000.00,0
4,1,£29149.72,£50000.00,1
3,3,£23546.40,£50000.00,0
1,1,£34031.16,£50000.00,1
4,4,£46660.35,£50000.00,2
5,3,£32780.62,£50000.00,1
1,2,£12016.19,£50000.00,1
1,4,£9222.96,£50000.00,1
2,1,£13541.46,£50000.00,0
3,1,£12588.74,£50000.00,2
2,3,£45846.44,£50000.00,0
2,1,£28269.67,£50000.00,1
5,1,£24606.99,£50000.00,1
4,1,£599.62,£50000.00,0
2,5,£6238.38,£50000.00,1
4,4,£48522.93,£50000.00,2
5,3,£26636.07,£50000.00,0
5,2,£25834.82,£50000.00,0
4,5,£9121.07,£50000.00,2
4,4,£16347.02,£50000.00,2
3,4,£29830.58,£50000.00,2
3,4,£49639.47,£50000.00,2
3,2,£12955.14,£50000.00,1
3,1,£20940.40,£50000.00,1
1,4,£1596.05,£50000.00,2
5,3,£14439.23,£50000.00,0
1,3,£15580.57,£50000.00,0
5,5,£11271.64,£50000.00,0
3,5,£26378.27,£50000.00,0
1,2,£32914.99,£50000.00,1
4,1,£30874.54,£50000.00,1
1,3,£1411.58,£50000.00,2
3,5,£32113.10,£50000.00,1
3,5,£33122.74,£50000.00,1
1,2,£48641.38,£50000.00,1
4,1,£49269.24,£50000.00,2
1,4,£47842.54,£50000.00,0
1,2,£21466.33,£50000.00,2
4,2,£20083.14,£50000.00,2
5,4,£33614.48,£50000.00,0
4,5,£37549.19,£50000.00,0
5,2,£21177.78,£50000.00,1
4,2,£18452.67,£50000.00,0
4,1,£669.86,£50000.00,1
5,2,£31876.83,£50000.00,0
2,4,£27598.77,£50000.00,0
2,2,£47580.90,£50000.00,1
1,4,£18002.12,£50000.00,1
3,4,£24398.67,£50000.00,0
4,2,£35454.07,£50000.00,0
3,3,£9441.24,£50000.00,0
2,2,£2342.83,£50000.00,1
3,5,£42733.43,£50000.00,2
1,3,£40542.29,£50000.00,0
3,3,£34310.61,£50000.00,0
5,5,£15168.82,£50000.00,2
4,1,£38139.45,£50000.00,2
3,2,£16606.29,£50000.00,1
4,1,£36930.81,£50000.00,0
3,5,£10666.28,£50000.00,0
1,2,£5777.11,£50000.00,0
1,3,£6230.34,£50000.00,2
1,1,£28594.48,£50000.00,2
5,2,£16895.34,£50000.00,2
3,1,£16914.69,£50000.00,2
5,1,£19167.72,£50000.00,2
3,5,£34650.84,£50000.00,2
5,2,£27946.25,£50000.00,1
4,2,£44486.80,£50000.00,1
4,1,£48161.55,£50000.00,2
3,5,£28859.21,£50000.00,1
5,3,£21925.59,£50000.00,0
3,4,£9021.64,£50000.00,2
2,3,£8180.14,£50000.00,1
3,5,£22302.89,£50000.00,0
5,5,£14800.14,£50000.00,0
3,2,£22000.46,£50000.00,1
5,1,£18235.06,£50000.00,1
5,3,£42861.28,£50000.00,1
1,3,£325.84,£50000.00,0
2,3,£11072.43,£50000.00,2
4,3,£43678.65,£50000.00,1
1,3,£36008.07,£50000.00,2
2,4,£7309.67,£50000.00,0
1,5,£32102.54,£50000.00,0
1,2,£27997.12,£50000.00,1
3,5,£22758.65,£50000.00,0
2,2,£49151.73,£50000.00,0
4,5,£19781.45,£50000.00,1
2,2,£44463.47,£50000.00,1
2,5,£19677.19,£50000.00,2
3,4,£23822.02,£50000.00,0
5,4,£16374.55,£50000.00,1
4,5,£2476.34,£50000.00,2
5,2,£45268.86,£50000.00,1
5,4,£23599.77,£50000.00,2
5,3,£9763.49,£50000.00,1
1,2,£17844.43,£50000.00,2
2,2,£45879.99,£50000.00,2
4,2,£38825.71,£50000.00,1
2,1,£5637.12,£50000.00,2
4,1,£29801.62,£50000.00,0
5,3,£37709.29,£50000.00,0
5,4,£35288.36,£50000.00,0
1,1,£24900.49,£50000.00,1
3,1,£10698.26,£50000.00,2
5,4,£12458.70,£50000.00,2
3,3,£17583.06,£50000.00,1
5,4,£10600.46,£50000.00,0
2,3,£18334.99,£50000.00,1
2,4,£9878.32,£50000.00,2
1,4,£27752.50,£50000.00,0
5,2,£49544.94,£50000.00,0
3,5,£26425.05,£50000.00,1
4,4,£19416.45,£50000.00,2
3,3,£30353.71,£50000.00,0
1,5,£33911.64,£50000.00,0
4,2,£16750.55,£50000.00,0
5,3,£39316.36,£50000.00,0
2,1,£38363.19,£50000.00,2
4,4,£5102.84,£50000.00,1
1,4,£30707.23,£50000.00,2
5,4,£10105.13,£50000.00,2
2,4,£120.97,£50000.00,2
5,1,£31158.89,£50000.00,2
2,3,£26920.17,£50000.00,0
5,3,£266.95,£50000.00,2
4,5,£31731.04,£50000.00,0
3,5,£11715.40,£50000.00,0
1,4,£43578.89,£50000.00,0
1,4,£7411.27,£50000.00,0
2,2,£8834.52,£50000.00,1
5,3,£36121.79,£50000.00,1
3,2,£21397.01,£50000.00,0
1,1,£8061.17,£50000.00,1
3,3,£4066.88,£50000.00,2
5,4,£3773.74,£50000.00,0
2,3,£14853.26,£50000.00,2
4,1,£41810.85,£50000.00,2
4,1,£1550.70,£50000.00,2
1,5,£19609.37,£50000.00,1
2,5,£35711.82,£50000.00,2
2,5,£3661.16,£50000.00,0
1,4,£9287.71,£50000.00,0
2,2,£38465.49,£50000.00,0
2,4,£21445.71,£50000.00,1
2,4,£19353.59,£50000.00,0
5,3,£35834.64,£50000.00,2
5,3,£22623.44,£50000.00,1
3,1,£27677.03,£50000.00,2
3,4,£19399.34,£50000.00,2
2,1,£45122.39,£50000.00,2
3,5,£34322.67,£50000.00,1
1,4,£9694.67,£50000.00,1
4,3,£3475.62,£50000.00,1
4,2,£2331.12,£50000.00,2
4,2,£47462.52,£50000.00,1
2,3,£33675.94,£50000.00,1
3,5,£9117.74,£50000.00,2
3,4,£10518.69,£50000.00,2
5,2,£45573.01,£50000.00,1
3,1,£26409.27,£50000.00,1
5,3,£38810.14,£50000.00,2
2,2,£31997.85,£50000.00,1
4,4,£32627.69,£50000.00,2
1,4,£14257.80,£50000.00,0
4,3,£27323.80,£50000.00,1
2,5,£26222.93,£50000.00,2
4,4,£16534.17,£50000.00,1
3,3,£17949.19,£50000.00,2
3,1,£23600.46,£50000.00,1
5,4,£18123.63,£50000.00,0
2,1,£40879.49,£50000.00,0
5,2,£18822.74,£50000.00,1
3,3,£11262.72,£50000.00,0
5,2,£33992.49,£50000.00,2
1,3,£46729.60,£50000.00,2
5,2,£1423.55,£50000.00,2
4,1,£47403.19,£50000.00,2
1,2,£8108.68,£50000.00,2
3,3,£38960.99,£50000.00,2
2,2,£39534.67,£50000.00,2
4,3,£24502.25,£50000.00,1
3,2,£10208.13,£50000.00,1
2,5,£45920.65,£50000.00,1
3,1,£43406.49,£50000.00,0
3,2,£35686.35,£50000.00,1
1,3,£16502.65,£50000.00,0
2,2,£12215.88,£50000.00,2
4,5,£7665.17,£50000.00,2
3,3,£22282.28,£50000.00,1
5,2,£19281.09,£50000.00,2
3,5,£41332.91,£50000.00,0
5,5,£31439.88,£50000.00,2
3,4,£13885.30,£50000.00,1
5,5,£31303.79,£50000.00,2
2,5,£35027.35,£50000.00,1
4,1,£1918.50,£50000.00,2
5,1,£35028.82,£50000.00,0
2,3,£47513.59,£50000.00,2
5,5,£14589.78,£50000.00,2
4,5,£32575.45,£50000.00,1
4,3,£5770.99,£50000.00,1
3,1,£30705.25,£50000.00,2
5,3,£37639.18,£50000.00,2
5,4,£31170.52,£50000.00,1
4,5,£35523.63,£50000.00,0
3,3,£43800.56,£50000.00,1
1,1,£28750.65,£50000.00,1
3,3,£252.54,£50000.00,0
2,2,£24354.93,£50000.00,1
4,3,£25001.16,£50000.00,2
1,5,£7529.26,£50000.00,2
5,1,£9624.12,£50000.00,1
4,3,£40867.74,£50000.00,0
4,4,£243.63,£50000.00,0
5,2,£9187.59,£50000.00,2
2,3,£4697.77,£50000.00,1
5,2,£10263.25,£50000.00,2
1,4,£39943.11,£50000.00,1
3,4,£17981.75,£50000.00,2
1,4,£47482.11,£50000.00,2
1,2,£23787.58,£50000.00,2
3,2,£10106.08,£50000.00,0
1,3,£1405.29,£50000.00,0
5,5,£32366.94,£50000.00,2
3,4,£30980.34,£50000.00,2
4,1,£5362.98,£50000.00,2
5,1,£15251.43,£50000.00,1
3,4,£32018.78,£50000.00,1
1,3,£44727.76,£50000.00,0
3,2,£8882.07,£50000.00,0
2,2,£15960.89,£50000.00,0
2,2,£28899.03,£50000.00,0
3,2,£31226.80,£50000.00,1
1,4,£3142.77,£50000.00,2
1,5,£9967.06,£50000.00,1
4,4,£10706.17,£50000.00,0
3,3,£22834.32,£50000.00,1
3,4,£20388.54,£50000.00,0
3,1,£1049.46,£50000.00,1
2,4,£45858.32,£50000.00,1
5,3,£19738.47,£50000.00,0
2,2,£21353.78,£50000.00,2
2,4,£5576.42,£50000.00,0
5,5,£25424.83,£50000.00,0
3,4,£31954.42,£50000.00,1
4,2,£40092.58,£50000.00,2
3,2,£23430.79,£50000.00,1
1,3,£34665.15,£50000.00,1
3,4,£36925.43,£50000.00,1
5,4,£26082.14,£50000.00,1
5,5,£45746.06,£50000.00,2
5,1,£2416.64,£50000.00,0
3,2,£29820.74,£50000.00,0
4,4,£9586.07,£50000.00,0
5,1,£28711.19,£50000.00,0
2,5,£29318.25,£50000.00,2
5,4,£32394.61,£50000.00,0
3,5,£2302.11,£50000.00,2
4,3,£46279.00,£50000.00,1
1,5,£19382.68,£50000.00,1
5,2,£29616.79,£50000.00,1
5,2,£32953.36,£50000.00,0
4,2,£29024.10,£50000.00,1
4,3,£12727.10,£50000.00,0
5,1,£17438.30,£50000.00,2
1,4,£47803.26,£50000.00,2
2,3,£18155.17,£50000.00,1
5,3,£43014.67,£50000.00,2
2,3,£34366.14,£50000.00,2
5,2,£27697.13,£50000.00,2
4,5,£32966.26,£50000.00,1
5,3,£12500.32,£50000.00,2
2,3,£29656.58,£50000.00,1
4,1,£11609.70,£50000.00,0
3,5,£17030.05,£50000.00,1
5,4,£32113.52,£50000.00,1
3,3,£9917.10,£50000.00,0
2,4,£28487.85,£50000.00,1
4,4,£42507.42,£50000.00,2
1,3,£33623.61,£50000.00,1
3,3,£29234.25,£50000.00,2
4,2,£49353.07,£50000.00,0
1,1,£36262.99,£50000.00,2
4,4,£16563.29,£50000.00,2
1,3,£34682.66,£50000.00,2
5,3,£5869.85,£50000.00,0
4,3,£47774.16,£50000.00,1
5,3,£32082.91,£50000.00,1
2,1,£2466.83,£50000.00,1
4,1,£30569.75,£50000.00,0
4,5,£46164.96,£50000.00,2
5,5,£4021.64,£50000.00,1
3,5,£8186.26,£50000.00,0
5,2,£41505.00,£50000.00,1
3,4,£24778.99,£50000.00,2
5,5,£34851.47,£50000.00,1
1,3,£16830.19,£50000.00,1
1,2,£148.51,£50000.00,2
4,2,£11053.54,£50000.00,0
2,4,£21470.64,£50000.00,0
3,1,£2285.59,£50000.00,0
5,5,£24137.14,£50000.00,1
5,4,£2706.86,£50000.00,0
2,5,£39052.56,£50000.00,1
3,5,£16773.82,£50000.00,2
4,4,£22276.30,£50000.00,1
5,3,£26801.09,£50000.00,2
3,3,£22870.77,£50000.00,1
3,2,£48863.92,£50000.00,0
1,4,£12458.15,£50000.00,0
1,4,£514.27,£50000.00,0
5,5,£47008.32,£50000.00,0
5,2,£36897.60,£50000.00,1
4,3,£5367.74,£50000.00,2
5,3,£43664.87,£50000.00,2
3,2,£34035.66,£50000.00,1
2,5,£33043.14,£50000.00,1
5,2,£30560.63,£50000.00,0
2,3,£45806.02,£50000.00,1
5,4,£26883.93,£50000.00,2
2,2,£33059.49,£50000.00,0
2,1,£1315.32,£50000.00,2
1,5,£27677.66,£50000.00,1
1,3,£6451.90,£50000.00,0
2,4,£43116.20,£50000.00,2
3,5,£17853.77,£50000.00,0
2,4,£10417.23,£50000.00,1
5,3,£18103.87,£50000.00,1
4,1,£20904.88,£50000.00,2
2,5,£18048.44,£50000.00,1
4,4,£19856.11,£50000.00,2
2,1,£41389.28,£50000.00,0
3,2,£11052.54,£50000.00,2
4,2,£23633.77,£50000.00,2
1,4,£10037.16,£50000.00,1
3,5,£20783.91,£50000.00,1
5,1,£26801.95,£50000.00,1
5,4,£14300.23,£50000.00,1
1,5,£12040.57,£50000.00,1
3,1,£1338.78,£50000.00,2
4,2,£48577.24,£50000.00,0
3,4,£32350.69,£50000.00,2
4,1,£46929.50,£50000.00,1
5,4,£29548.51,£50000.00,2
1,4,£23199.49,£50000.00,2
2,2,£26975.43,£50000.00,0
2,2,£44084.99,£50000.00,2
1,4,£27047.87,£50000.00,2
5,5,£48318.12,£50000.00,2
5,5,£27004.23,£50000.00,2
3,5,£39513.17,£50000.00,1
4,5,£28086.07,£50000.00,2
4,1,£35238.09,£50000.00,2
3,4,£11657.20,£50000.00,0
3,3,£38778.17,£50000.00,2
2,5,£26933.15,£50000.00,1
4,5,£41652.33,£50000.00,0
4,3,£12955.87,£50000.00,2
4,2,£49534.78,£50000.00,2
1,4,£751.26,£50000.00,1
3,1,£27087.93,£50000.00,2
4,2,£44530.20,£50000.00,2
4,1,£7102.84,£50000.00,1
2,1,£41190.91,£50000.00,1
4,4,£46393.94,£50000.00,0
1,1,£22840.74,£50000.00,1
3,2,£33554.50,£50000.00,1
1,3,£30463.69,£50000.00,0
2,1,£880.70,£50000.00,0
5,2,£1117.89,£50000.00,0
5,3,£4304.48,£50000.00,0
1,2,£2320.02,£50000.00,1
3,3,£7628.36,£50000.00,2
4,1,£5471.83,£50000.00,0
4,1,£11479.83,£50000.00,1
4,2,£44268.51,£50000.00,2
5,2,£22311.43,£50000.00,1
2,4,£23510.89,£50000.00,0
1,2,£24289.73,£50000.00,1
4,2,£31027.06,£50000.00,2
5,1,£30252.71,£50000.00,1
1,2,£44038.28,£50000.00,1
5,1,£2113.60,£50000.00,1
4,2,£20648.40,£50000.00,2
3,1,£45340.80,£50000.00,2
3,1,£198.25,£50000.00,1
3,4,£32736.63,£50000.00,1
2,4,£27072.03,£50000.00,0
1,1,£13910.54,£50000.00,1
5,5,£11882.34,£50000.00,1
5,4,£32219.61,£50000.00,1
4,1,£49555.44,£50000.00,0
4,5,£24466.00,£50000.00,0
3,5,£32649.35,£50000.00,0
5,1,£48678.50,£50000.00,2
5,1,£39264.53,£50000.00,2
3,1,£27943.74,£50000.00,0
4,1,£42980.97,£50000.00,0
2,5,£46286.03,£50000.00,2
2,2,£6829.05,£50000.00,1
1,5,£1628.00,£50000.00,1
4,1,£12127.40,£50000.00,1
3,1,£5379.57,£50000.00,2
5,1,£2225.51,£50000.00,0
4,4,£37335.64,£50000.00,2
5,3,£22641.07,£50000.00,1
3,1,£46701.08,£50000.00,0
4,3,£10613.78,£50000.00,2
2,3,£11959.17,£50000.00,1
4,5,£30736.90,£50000.00,0
3,3,£26729.58,£50000.00,1
4,5,£5360.14,£50000.00,0
4,3,£5593.89,£50000.00,1
4,2,£49765.22,£50000.00,2
4,2,£43807.87,£50000.00,0
3,1,£43297.59,£50000.00,2
